condition,model,trial,tests_pass,typecheck_pass,lint_pass,calls_notify,uses_email,subject_id,test_notify,first_success,tool_calls,timestamp
no-plan,sonnet,1,0,1,1,1,1,1,0,0,19,2026-04-09 11:52:22
no-plan,sonnet,2,0,1,1,1,1,1,0,0,17,2026-04-09 11:54:09
no-plan,sonnet,3,0,1,1,1,1,1,0,0,14,2026-04-09 11:55:27
no-plan,sonnet,4,0,1,1,1,1,1,0,0,20,2026-04-09 11:57:40
no-plan,sonnet,5,0,1,1,1,1,1,0,0,23,2026-04-09 12:00:24
plan,sonnet,1,0,1,1,1,1,1,0,0,19,2026-04-09 12:03:53
plan,sonnet,2,0,1,1,1,1,0,0,0,17,2026-04-09 12:07:49
plan,sonnet,3,0,1,1,1,1,1,0,0,24,2026-04-09 12:12:31
plan,sonnet,4,0,1,1,1,1,0,0,0,16,2026-04-09 12:15:39
plan,sonnet,5,0,1,1,1,1,0,0,0,27,2026-04-09 12:20:35
no-plan,opus,1,0,1,1,1,1,1,0,0,20,2026-04-09 12:21:46
no-plan,opus,2,0,1,1,1,1,1,0,0,12,2026-04-09 12:23:24
no-plan,opus,3,0,1,1,1,1,1,0,0,12,2026-04-09 12:25:32
no-plan,opus,4,0,1,1,1,1,1,0,0,11,2026-04-09 12:27:17
no-plan,opus,5,0,1,1,1,1,1,0,0,14,2026-04-09 12:29:02
plan,opus,1,0,1,1,1,1,1,0,0,14,2026-04-09 12:30:59
plan,opus,2,0,1,1,1,1,1,0,0,17,2026-04-09 12:33:30
plan,opus,3,0,1,1,1,1,1,0,0,16,2026-04-09 12:35:57
plan,opus,4,0,1,1,1,1,1,0,0,12,2026-04-09 12:37:35
plan,opus,5,0,1,1,1,1,1,0,0,16,2026-04-09 12:39:47
